SiIII_flux	SiIII_flux_err	LyA_flux	LyA_flux_err	SiII_flux	SiII_flux_err	CII_flux	CII_flux_err	MgII_flux	MgII_flux_err	SiIV_flux	SiIV_flux_err	HeII_flux	HeII_flux_err	CIV_flux	CIV_flux_err	NV_flux	NV_flux_err	EUV_flux	dist_pc	radius	temp	star	
Si III (1206 Å)		LyA (1216 Å)		Si II (1260 Å)		C II (1335 Å)		Mg II (2800 Å)		Si IV (1393 Å)		He II (1640 Å)		C IV (1550 Å)		N V (1240 Å)		(100-912 Å)		Solar Units			
																							
																							
																							
x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	12.47	x	x	GJ3053	
x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x		TRAPPIST-1	
x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	16.03	0.308	3730	GJ676A	
x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	3.56	0.455	3470	GJ15A	
x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	10.38	0.545	3590	GJ649	
x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	15.14	0.39	3225	GJ163	
x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	8.8	x	3600	GJ849	
x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	4.55	0.34	3260	GJ674	
x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	1.83	0.18	3300	GJ699	
x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	13.39	0.245	3350	L980-5	
x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	12.46	0.161	3200	LP756-18	
x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	12.19	0.188	3220	LHS2686	
x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	2.98	0.195	3240	GJ729	
x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	44.13	x	x	K2-3	
x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	21.3	0.329	3755	Ross1044	
x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	98.38	x	4865	Ross825	
x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	3.8	x	x	GJ273	
x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	4.04	x	x	GJ860A	
x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	5.7	x	x	GJ205	
x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	5.92	x	x	GJ588	
x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	6.33	x	x	GJ338A	
x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	6.2	x	x	GJ644A	
x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	2.55	x	x	GJ411	
x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	48.18	x	x	2MASSJ04483062+1623187	
x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	46.06	x	x	2MASSJ04235911+1643178	
x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	52.95	x	x	2MASSJ04251456+1858250	
x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	50.61	x	x	2MASSJ04202761+1853499	
x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	49.52	0.32	3630	2MASSJ04172811+1454038	
x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	38.56	x	3470	2MASSJ02564122+3522346	
x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	28.83	0.104	x	2MASSJ03553690+2118482	
x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	43.73	x	x	2MASSJ03555715+1825564	
x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	45.57	x	x	2MASSJ03581434+1237408	
x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	47.08	x	x	2MASSJ04004493+1354227	
x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	53.4	x	x	2MASSJ04062060+1901391	
x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	45.76	x	x	2MASSJ04183382+1821529	
x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	46.79	x	x	2MASSJ04262170+1800009	
x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	46.79	x	x	2MASSJ04290015+1620467	
x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	39.69	0.102	2260	2MASSJ04214955+1929086	
x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	43.4	0.253	3590	2MASSJ04110642+1247481	
x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	62.04	x	x	2MASSJ04254182+1900477	
