star RV K err_K V err_V H_alpha H_alpha_err s s_err rhk_prime rhk_prime_err newt_Ha newt_Ha_err ad_logRHK ad_logRHK_err ad_S ad_S_err num_spectra_ha num_spectra_s num_spectra_logrhk
GJ1132 -4.005 8.321999549865723 0.027000000700354576 13.520000457763672 0.0 -0.0422965032373 2.24424451493e-05 0.75032530639 0.00230860509572 2.65303948827e-06 1.32248445317e-08 nan nan 0.0 0.0 0.0 0.0 126 125 125
GJ3470 42.918 7.988999843597412 0.023000000044703484 12.331999778747559 0.019999999552965164 0.218660985681 2.25558595499e-05 0.728832006447 1.08034660678e-07 6.02079850169e-06 1.30221113985e-12 nan nan -4.85699987411499 0.3630000054836273 1.569000005722046 0.34299999475479126 80 80 80
TWA7 11.4 6.89900016784668 0.027000000700354576 10.90999984741211 0.07000000029802322 -6.64918955085 0.000223960411285 4.54897607837 8.89983816192e-08 7.00397070503e-05 1.43624806118e-12 0.0 0.0 0.0 0.0 0.0 0.0 33 32 32
GJ285 26.53 5.697999954223633 0.017000000923871994 11.225000381469727 0.0 -9.42531252824 0.00281134425746 0.367906276602 1.76045545666e-09 1.97557288177e-07 7.54496175e-15 -9.34000015258789 0.02500000037252903 -4.078000068664551 0.8370000123977661 22.06800079345703 2.1730000972747803 93 26 23
GJ752B 29.0 8.765000343322754 0.02199999988079071 17.299999237060547 0.0 -5.03424640023 0.0187472426989 1.15347560671 0.883224274208 -1.55196969352e-07 1.48616447204e-07 nan nan 0.0 0.0 0.0 0.0 4 4 0
GJ3053 1.18 8.821000099182129 0.024000000208616257 14.149999618530273 0.05999999865889549 0.149334743175 4.38747207793e-05 0.732634811564 0.0220736942482 2.21034712266e-06 1.12715355316e-07 nan nan 0.0 0.0 0.0 0.0 100 94 92
GJ676A -39.08 5.824999809265137 0.028999999165534973 9.585000038146973 0.0 0.421662424696 1.20308512613e-05 0.686468879149 1.76835921066e-06 9.69446427153e-06 3.57070537881e-11 0.0 0.0 -4.751999855041504 0.17399999499320984 1.5390000343322754 0.12800000607967377 58 58 58
GJ163 58.1 7.135000228881836 0.020999999716877937 11.810999870300293 0.0 0.162782700831 1.39430428326e-05 0.522573790867 3.29261134438e-05 2.47689767611e-06 2.970596472e-10 0.0 0.0 -5.480000019073486 0.10599999874830246 0.703000009059906 0.13500000536441803 175 172 172
GJ849 -15.26 5.593999862670898 0.017000000923871994 10.366000175476074 0.0 0.229017203751 6.68736058738e-05 0.617174293807 3.87518192576e-06 3.01406379349e-06 3.21668254325e-11 0.0 0.0 -5.296000003814697 0.04899999871850014 0.9679999947547913 0.06599999964237213 30 30 30
GJ674 -2.73 4.855000019073486 0.017999999225139618 9.406999588012695 0.0 -0.236940362657 8.30827023759e-06 0.776006012188 2.36346454377e-07 5.38307039332e-06 2.37476649858e-12 0.0 0.0 -4.885000228881836 0.2800000011920929 1.6330000162124634 0.2939999997615814 182 182 182
GJ699 -110.51 4.52400016784668 0.019999999552965164 9.51099967956543 0.0 0.0624353137218 3.84387652291e-05 0.560526220457 4.39519099262e-06 2.00288476156e-06 3.02671946691e-11 0.07400000095367432 0.014000000432133675 -5.690999984741211 0.20399999618530273 0.6869999766349792 0.3659999966621399 71 71 71
GJ729 -10.5 5.369999885559082 0.01600000075995922 10.494999885559082 0.0 -2.37201873519 3.94270646842e-05 2.63316419787 8.34744562331e-05 1.43824271102e-05 5.0969718085e-10 nan nan -4.427999973297119 1.059999942779541 7.2779998779296875 1.9730000495910645 77 76 76
GJ273 18.22 4.85699987411499 0.023000000044703484 9.871999740600586 0.0 0.0276585339092 1.53580920737e-05 0.607393908735 5.83378511818e-07 2.25530452302e-06 3.92067154147e-12 0.09099999815225601 0.013000000268220901 -5.573999881744385 0.06499999761581421 0.7649999856948853 0.10999999940395355 199 199 199
