02312765+5722432 02 31 27.656 +57 22 43.271 0.281 0.298 4.485                                                                                     1  -1.000       1995AJ....110.1838R 0 0
02333717+2455392 02 33 37.177 +24 55 37.773 0.203 0.223 3.243                                             -2.705 0.359 2002AJ....123.3356G  0.927 0  -2.705 0.359 2002AJ....123.3356G 1 0
02355328+2013119 02 35 53.298 +20 13 11.469 0.515 0.523 5.433                                              0.186       2002AJ....123.3356G  0.039 0   0.186       2002AJ....123.3356G 0 0
02361535+0652191 02 36 15.258 +06 52 17.957 0.245 0.264 3.459                                0.125 0.016   0.001       2002AJ....123.3356G  0.060 0   0.001       2002AJ....123.3356G 0 0
02364781+3204204 02 36 47.765 +32 04 20.232 0.250 0.268                                                   -0.764 0.090 2014MNRAS.443.2561G        0  -0.764 0.090 2014MNRAS.443.2561G 0 0
02372971+0021273 02 37 29.692 +00 21 27.505 0.200 0.220 3.419                               -1.159 0.046  -1.159 0.046 ThisWork             0.448 0  -1.159 0.046 ThisWork            1 0
02423253+0322259 02 42 32.544 +03 22 26.109 0.676 0.681 7.561                                                                                     1  -1.000       1995AJ....110.1838R 0 0
02441025+4913540 02 44 10.258 +49 13 54.066 0.520 0.529                                      0.275 0.024   0.180       2002AJ....123.3356G        0   0.180       2002AJ....123.3356G 0 0
02441537+2531249 02 44 15.511 +25 31 24.164 0.345 0.359 4.374                                              0.044 0.016 2002AJ....123.3356G  0.071 0   0.044 0.016 2002AJ....123.3356G 0 0
02453963+4456557 02 45 39.667 +44 56 55.566 0.619 0.625 5.869                                              0.851 0.200 2015A&A...577A.128A -0.305 0   0.851 0.200 2015A&A...577A.128A 0 0
02454119+4457030 02 45 41.235 +44 57 02.991 0.143 0.167 1.923                                                                                     0  -3.070       1995AJ....110.1838R 1 1
02463486+1625115 02 46 34.726 +16 25 10.337 0.096 0.123 1.802                                                                                     1  -1.000       1995AJ....110.1838R 0 0
02475585+2842441 02 47 55.885 +28 42 44.245 0.592 0.598                                                    0.269 0.050 2014MNRAS.443.2561G        0   0.269 0.050 2014MNRAS.443.2561G 0 0
02480974+2704257 02 48 09.732 +27 04 25.896 0.181 0.203                                                                                           0  -8.210       1995AJ....110.1838R 1 1
02520697+3423236 02 52 07.156 +34 23 21.374 0.553 0.560 6.654                                              0.224       2002AJ....123.3356G  0.037 0   0.224       2002AJ....123.3356G 0 0
02522502+2658304 02 52 25.019 +26 58 30.090 0.682 0.687                                                    0.238       2002AJ....123.3356G        0   0.238       2002AJ....123.3356G 0 0
02553573+2652208 02 55 35.773 +26 52 20.463 0.310 0.326 3.721                                0.029 0.026   0.029 0.026 ThisWork             0.063 0   0.029 0.026 ThisWork            0 0
02563434+5526145 02 56 34.420 +55 26 14.195 0.685 0.690 5.887                                              0.275       2002AJ....123.3356G  0.079 0   0.275       2002AJ....123.3356G 0 0
02563506+5526302 02 56 35.163 +55 26 29.665 0.554 0.562 4.754                                                                                     0   0.480       2013AJ....145..102L 0 0
02573103+1047245 02 57 31.047 +10 47 24.613 0.294 0.310 4.593                                                                                     1  -1.000       1995AJ....110.1838R 0 0
03062676+0157538 03 06 26.744 +01 57 54.677 0.689 0.693 7.489                                              0.340       2002AJ....123.3356G  0.056 0   0.340       2002AJ....123.3356G 0 0
03082370+4302085 03 08 23.710 +43 02 08.590 0.191 0.212 4.190                                                                                     1  -1.000       1995AJ....110.1838R 0 0
03090015+1001257 03 09 00.164 +10 01 25.822 0.126 0.151 2.627                                                                                     1  -1.000       1995AJ....110.1838R 0 0
03090444+7602281 03 09 04.482 +76 02 28.257 0.724 0.729 6.434                                              0.393       2002AJ....123.3356G  0.051 0   0.393       2002AJ....123.3356G 0 0
03093085+4543586 03 09 30.815 +45 43 58.299 0.686 0.691 5.214                                              0.228       2002AJ....123.3356G  0.096 0   0.228       2002AJ....123.3356G 0 1
03101547+0554311 03 10 15.478 +05 54 31.471 0.377 0.390 5.344                                              0.031 0.100 2014MNRAS.443.2561G  0.098 0   0.031 0.100 2014MNRAS.443.2561G 0 0
03105861+7346189 03 10 58.285 +73 46 19.758 0.126 0.151 3.033                                                                                     1  -1.000       1995AJ....110.1838R 0 0
03132299+0446293 03 13 22.918 +04 46 29.284 0.159 0.182 2.281 126.2000 2016ApJ...821...93N  -0.016 0.036  -0.125 0.085 2002AJ....123.3356G  0.056 0  -0.125 0.085 2002AJ....123.3356G 0 0
03141241+2840411 03 14 12.463 +28 40 39.455 0.090 0.116 1.884                                                                                     1  -1.000       1995AJ....110.1838R 0 0
03143399+5220543 03 14 33.969 +52 20 53.840 0.702 0.707 7.394                                                                                     1  -1.000       1995AJ....110.1838R 0 0
03144488+4831113 03 14 44.915 +48 31 11.020 0.423 0.434                                                   -0.049 0.070 2014MNRAS.443.2561G        0  -0.049 0.070 2014MNRAS.443.2561G 0 0
03161381+5810024 03 16 13.829 +58 10 02.300 0.491 0.500                                                    0.188       2002AJ....123.3356G        0   0.188       2002AJ....123.3356G 0 0
03161389+5810072 03 16 13.953 +58 10 07.663 0.478 0.487                                                    0.145       2002AJ....123.3356G        0   0.145       2002AJ....123.3356G 0 0
03174512+2515070 03 17 45.245 +25 15 06.263 0.448 0.459 5.868                                             -0.029 0.130 2014MNRAS.443.2561G  0.154 0  -0.029 0.130 2014MNRAS.443.2561G 0 0
03180742+3815081 03 18 07.467 +38 15 07.541 0.638 0.644 5.543                                              0.237       2002AJ....123.3356G  0.063 0   0.237       2002AJ....123.3356G 0 0
03183830+3239570 03 18 38.324 +32 39 56.929 0.591 0.598 5.773                                              0.170 0.050 2014MNRAS.443.2561G  0.079 0   0.170 0.050 2014MNRAS.443.2561G 0 0
03205965+1854233 03 20 59.712 +18 54 22.848 0.082 0.110 0.475   0.6140 2016ApJ...821...93N -27.938 0.605 -27.938 0.605 ThisWork             1.329 0 -27.938 0.605 ThisWork            1 0
03212176+7958022 03 21 21.755 +79 58 02.140 0.419 0.431                                                    0.141       2002AJ....123.3356G        0   0.141       2002AJ....123.3356G 0 0
03220410+0256346 03 22 04.094 +02 56 34.792 0.123 0.148 3.685                                                                                     1  -1.000       1995AJ....110.1838R 0 0
03230175+4200269 03 23 01.752 +42 00 26.962 0.127 0.152 2.720                               -0.058 0.045  -0.058 0.045 ThisWork             0.041 0  -0.058 0.045 ThisWork            0 0
03232241+1141134 03 23 22.420 +11 41 13.483 0.401 0.413 4.663                                             -1.400 0.160 2014MNRAS.443.2561G  0.755 0  -1.400 0.160 2014MNRAS.443.2561G 1 0
03240643+2347073 03 24 06.492 +23 47 06.090 0.693 0.698 5.608                                             -0.376       2002AJ....123.3356G  0.447 0  -0.376       2002AJ....123.3356G 0 1
03254225+0551519 03 25 42.253 +05 51 51.822 0.243 0.262 3.227   0.4480 2016ApJ...821...93N                                                        0  -4.830       1995AJ....110.1838R 1 1
03314712+1419194 03 31 47.136 +14 19 17.951 0.363 0.377 5.013                                              0.011 0.090 2014MNRAS.443.2561G  0.100 0   0.011 0.090 2014MNRAS.443.2561G 0 0
03393620+2528202 03 39 36.196 +25 28 20.795 0.415 0.426 4.015                                              0.061 0.100 2014MNRAS.443.2561G  0.065 0   0.061 0.100 2014MNRAS.443.2561G 0 0
